
Set 5: 16, -6, -10, 7, 18, -8, 15, 2, 5, 12, 8, -4, -3, -5, 17, 14, -7, 11, -9, 3
Set 7: -3, -5, 7, 10, 16, -8, 13, 2, 14, -10, -6, 5, 3, 0, 15, 9, 12, -2, 19, -1
Set 1: -8, 14, 6, -2, 1, 5, 8, 10, 7, 20, -7, 15, 0, -9, 19, -10, 13, 4, -6, 18
Set 8: -7, 13, 16, 14, -6, 1, -9, 11, 3, 5, 8, -2, 19, 9, 7, -4, -8, 15, 4, 18
Set 9: 2, 16, 15, 19, 9, -2, 1, 20, 5, -9, 8, 0, -4, -5, -8, 14, 4, -10, 10, 7
Set 3: 4, -1, -2, -3, -6, 5, 10, 1, 13, 18, 15, 11, 16, -4, 3, 9, -5, 12, 7, -9
Set 6: -4, 5, 14, 15, 17, -8, 9, 8, -10, -1, -2, 0, -6, 11, 13, -3, 12, 6, -7, 16
Set 4: 9, 1, -7, 5, 14, -10, -2, 8, 15, 6, -3, 17, -9, -5, 13, 2, -1, 0, 20, -8
Set 2: -8, -4, -6, 6, 2, 7, 3, 16, 0, 20, 10, -1, -2, -7, 12, 11, 5, 1, -3, 13
Set 10: -8, -4, 10, 8, 3, 0, -3, 15, -1, -10, -6, -2, 20, 16, -7, 9, 5, 4, 19, 17



Set 6: 13, 12, 6, -1, 28, 27, 25, 26, 15, 20, 2, 1, 3, -7, 21, 17, -9, 29, 0, -4, 4, 8, 11, 18, 16, 10, 23, 7, 9, -3
Set 8: -4, -9, 16, 8, 20, 11, 5, -1, -10, 18, 30, 1, 22, 2, 29, 24, 13, 3, -3, 14, 9, 26, 4, -7, 23, 19, 27, 7, 25, 6
Set 4: 4, 15, 9, 23, 27, -8, 8, 22, 3, 21, 11, 25, 13, 16, 24, 5, -10, 2, -6, 7, 12, 26, 19, 29, -4, -2, -1, 17, -9, 0
Set 3: 18, 21, -3, 22, 25, 16, 23, 30, 13, 12, 0, -9, 11, 10, 2, 5, 26, -7, 9, -4, -5, 28, 17, -10, 3, 14, 6, 24, 15, 1
Set 10: 19, 22, 28, 5, 12, 20, -10, 14, 10, 16, -4, -6, -5, 15, 21, 23, -3, 25, 27, 2, 17, 18, 29, 1, -9, 26, 3, 13, 9, 0
Set 7: 14, 11, -8, -10, 2, -5, -7, 24, -9, 10, 29, 20, 8, 22, 7, 0, 4, 15, -4, 25, 21, 26, 5, 16, 3, 27, 9, 12, 6, -3
Set 1: 6, -6, 1, 12, 17, 26, 30, 13, 20, 28, 3, 22, 7, 5, -9, 2, 9, -7, 16, 18, -8, 11, 10, 15, 25, 0, -5, 23, -4, -10
Set 2: -6, 23, 22, 20, 29, 14, 17, 1, 9, 4, 27, 3, 18, -10, 28, 15, 25, 19, -5, 5, -7, 8, 12, 2, -1, 30, 13, 10, 21, 16
Set 5: 11, 13, -2, 16, 14, 23, 4, 27, -3, -1, 0, 1, 2, 5, -4, 19, 22, 10, 3, -5, -10, 17, 26, 21, 29, 28, -6, -9, 8, 9
Set 9: 18, 1, -9, -7, 2, 0, 9, 10, 14, 21, -6, -3, 17, 11, 27, 13, 7, -10, 24, 22, 3, 28, -4, -1, 19, 26, -2, 15, 23, 29
